county,8_8_2020,8_15_2020,8_22_2020,8_29_2020,9_5_2020,9_12_2020,9_19_2020,9_26_2020,10_3_2020,10_10_2020,10_17_2020
Aitkin,10.74,9.47,3.16,3.79,10.74,12,8.21,12.63,20.21,27.16,31.58
Anoka,19.11,19.92,19.26,19.14,18.39,17.38,20.78,26.05,28.49,33.16,39.23
Becker,9.77,6.81,5.63,8.88,9.18,8.59,12.73,16.88,22.8,41.75,50.04
Beltrami,18.43,11.06,10.19,10.41,6.94,6.94,10.19,23.2,39.68,49.66,49.01
Benton,7.79,6.79,12.07,19.11,17.6,14.08,20.36,27.9,30.42,41.98,54.3
Big Stone,0,7.97,17.94,17.94,23.92,43.86,55.82,51.83,45.85,53.83,61.8
Blue Earth,20.36,18.55,22.16,44.48,57.3,34.83,26.99,35.73,29.85,20.96,22.62
Brown,5.95,6.35,7.54,11.11,11.5,8.73,16.66,21.42,21.02,27.77,25.78
Carlton,7.88,9.85,8.72,9,8.16,6.75,11.25,18.85,19.98,19.98,20.54
Carver,16.83,18.52,18.52,14.34,11.35,11.75,15.04,16.23,14.74,16.23,18.82
Cass,9.99,7.24,6.2,6.89,4.13,3.45,11.72,26.19,28.6,26.19,33.42
Chippewa,13.32,20.82,17.49,12.49,27.48,25.81,32.47,49.13,51.62,79.93,111.57
Chisago,8.22,7.67,14.62,16.45,16.08,15.71,15.9,21.38,26.5,39.1,51.53
Clay,8.44,7.01,7.8,16.08,36.62,42.2,40.92,46.97,47.61,59.08,82.96
Clearwater,0,1.13,3.4,5.67,6.81,5.67,4.54,10.21,12.48,23.83,56.74
Cook,5.65,7.53,1.88,0,0,0,0,1.88,1.88,1.88,7.53
Cottonwood,9.67,11.43,15.83,12.31,9.67,9.67,14.07,14.95,17.59,19.35,18.47
Crow Wing,10.81,9.08,7.83,6.26,10.18,11.12,15.35,27.72,32.1,31.63,40.25
Dakota,22.26,21.38,22.57,23.98,21.31,15.83,16.36,20.42,20.66,24.06,29.05
Dodge,4.37,6.8,9.23,9.23,6.8,11.17,21.38,38.87,40.33,38.38,36.44
Douglas,5.91,4.03,3.23,7.26,11.29,10.75,20.7,39.51,48.11,46.5,46.23
Faribault,7.2,10.79,15.11,13.67,7.92,8.64,8.64,13.67,24.47,32.38,36.7
Fillmore,4.79,7.66,6.7,4.31,3.35,4.31,9.57,17.71,31.12,37.82,33.03
Freeborn,4.91,5.9,9.17,8.52,13.1,20.64,31.12,27.52,13.43,16.05,22.6
Goodhue,8.44,9.3,8.87,8.87,7.36,8.87,12.33,17.74,19.69,16.44,19.04
