zip,pop,cases,date,total_cases,n_leq5,cases_lag,totalcases_last,totalcases_last_max,rate_last,rate_last_max,rate_last_ci_upper,rate_last_ci_lower,current_rate,school_opening_status
55001,2830,31,2020-10-29,31,0,29,2,2,7.067137809187279,7.067137809187279,16.861691103361363,0,7.067137809187279,All In-Person
55003,2200,661,2020-10-29,661,0,72,589,589,2677.272727272727,2677.272727272727,2893.490325045843,2461.055129499612,2677.272727272727,All Distance
55005,4540,60,2020-10-29,60,0,43,17,17,37.44493392070484,37.44493392070484,55.245125608393415,19.644742233016267,37.44493392070484,Elem Hybrid / HS Distance
55006,3300,36,2020-10-29,36,0,30,6,6,18.181818181818183,18.181818181818183,32.73030271471221,3.6333336489241566,18.181818181818183,Elem In-Person / HS Hybrid
55007,1990,29,2020-10-29,29,0,22,7,7,35.175879396984925,35.175879396984925,61.23453552606332,9.117223267906544,35.175879396984925,Elem Hybrid / HS Distance
55008,14170,239,2020-10-29,239,0,174,65,65,45.87155963302752,45.87155963302752,57.02330641260774,34.719812853447316,45.87155963302752,Elem Hybrid / HS Distance
55009,7780,108,2020-10-29,108,0,92,16,16,20.56555269922879,20.56555269922879,30.642673521850902,10.488431876606684,20.56555269922879,All Hybrid
55011,10140,209,2020-10-29,209,0,148,61,61,60.15779092702169,60.15779092702169,75.25452600076632,45.06105585327708,60.15779092702169,All Distance
55012,1770,54,2020-10-29,54,0,37,17,17,96.045197740113,96.045197740113,141.70218658876053,50.38820889146546,96.045197740113,All Distance
55013,6360,168,2020-10-29,168,0,110,58,58,91.19496855345912,91.19496855345912,114.66496114385733,67.72497596306091,91.19496855345912,All Distance
55014,25860,711,2020-10-29,711,0,533,178,178,68.8321732405259,68.8321732405259,78.94418467350643,58.720161807545395,68.8321732405259,All Distance
55016,35200,829,2020-10-29,829,0,672,157,157,44.60227272727273,44.60227272727273,51.57918454796525,37.62536090658021,44.60227272727273,Elem Hybrid / HS Distance
55017,660,13,2020-10-29,13,0,10,3,3,45.45454545454545,45.45454545454545,96.8912058005303,0,45.45454545454545,Elem Hybrid / HS Distance
55018,940,2,2020-10-29,2,1,2,0,4,0,42.5531914893617,84.25531914893617,0,0,All Hybrid
55019,2040,19,2020-10-29,19,0,14,5,5,24.509803921568626,24.509803921568626,45.993594293625435,3.0260135495118257,24.509803921568626,All Hybrid
55020,4020,77,2020-10-29,77,0,47,30,30,74.6268656716418,74.6268656716418,101.33174658482898,47.921984758454585,74.6268656716418,All Distance
55021,26890,1192,2020-10-29,1192,0,1099,93,93,34.58534771290443,34.58534771290443,41.61456135795693,27.556134067851918,34.58534771290443,Elem Hybrid / HS Distance
55024,34100,646,2020-10-29,646,0,516,130,130,38.12316715542522,38.12316715542522,44.67666813253464,31.56966617831581,38.12316715542522,Elem Hybrid / HS Distance
55025,23270,485,2020-10-29,485,0,346,139,139,59.73356252685862,59.73356252685862,69.66397043412167,49.80315461959556,59.73356252685862,All Distance
55026,410,2,2020-10-29,2,1,2,0,4,0,97.5609756097561,193.17073170731706,0,0,Elem Hybrid / HS Distance
55027,3070,50,2020-10-29,50,0,31,19,19,61.88925081433224,61.88925081433224,89.71805188710007,34.060449741564426,61.88925081433224,All Distance
55029,105,0,2020-10-29,0,0,0,0,0,0,0,0,0,0,All In-Person
55030,1050,28,2020-10-29,28,0,22,6,6,57.142857142857146,57.142857142857146,102.8666656748098,11.419048610904492,57.142857142857146,All Distance
55031,1850,20,2020-10-29,20,0,19,1,1,5.405405405405405,5.405405405405405,16,0,5.405405405405405,All In-Person
55032,3360,64,2020-10-29,64,0,40,24,24,71.42857142857143,71.42857142857143,100.00595176104184,42.851191096101026,71.42857142857143,All Distance
55036,51,2,2020-10-29,2,1,2,0,4,0,784.313725490196,1552.9411764705883,0,0,All Distance
55037,4150,50,2020-10-29,50,0,40,10,10,24.096385542168676,24.096385542168676,39.031480033566325,9.161291050771029,24.096385542168676,All Hybrid
