name,date,pop,n_leq5,total_cases,zips,cases_lag,totalcases_last,totalcases_last_max,rate_last,rate_last_max,rate_last_ci_upper,rate_last_ci_lower,school_opening_status
A.C.G.C. Public School District,2020-08-20,71340,2,885,"55329, 55350, 55355, 56201, 56209, 56228, 56243, 56251, 56253, 56273, 56288, 56362",786,99,107,13.877207737594617,14.998598261844688,17.840537937800065,11.143572502482513,Elem In-Person / HS Hybrid
Ada-Borup Public School District,2020-08-20,5880,4,40,"56510, 56519, 56545, 56546, 56548, 56550, 56574, 56584",36,4,20,6.802721088435374,34.01360544217687,48.92072529217546,0.1360544217687076,All In-Person
Adrian Public School District,2020-08-20,6598,1,160,"56110, 56122, 56128, 56147, 56155, 56158, 56168, 56185",146,14,18,21.21855107608366,27.280994240678993,39.88417057707456,10.103594304218058,All Hybrid
Aitkin Public School District,2020-08-20,14910,4,39,"55752, 55785, 56342, 56431, 56441, 56447, 56469",28,11,27,7.377598926894701,18.108651911468815,24.93927481455734,3.017716573375866,All In-Person
Albany Public School District,2020-08-20,21670,1,151,"56307, 56310, 56331, 56362, 56368, 56376",129,22,26,10.152284263959391,11.998154130133825,16.61009609905023,5.909914679624402,Elem In-Person / HS Hybrid
Albert Lea Public School District,2020-08-20,55370,3,1438,"55912, 56007, 56009, 56016, 56026, 56029, 56036, 56042, 56043, 56045, 56089",1376,62,74,11.197399313707784,13.364637890554452,16.409708781542992,8.410139889278826,Elem In-Person / HS Hybrid
Alden-Conger Public School District,2020-08-20,24570,1,348,"56007, 56009, 56020, 56029, 56097",333,15,19,6.105006105006105,7.733007733007733,11.210192075433342,3.01544674051016,All In-Person
Alexandria Public School District,2020-08-20,43680,5,195,"56308, 56315, 56319, 56327, 56332, 56334, 56343, 56349, 56354, 56355, 56360, 56361, 56446",174,21,41,4.807692307692308,9.386446886446887,12.259643659653934,2.751408342006995,All In-Person
Annandale Public School District,2020-08-20,24830,0,131,"55302, 55320, 55321, 55358, 55382",118,13,13,5.235602094240838,5.235602094240838,8.081707813092798,2.389496375388877,All In-Person
Anoka-Hennepin Public School District,2020-08-20,439420,0,7145,"55011, 55303, 55304, 55316, 55327, 55369, 55374, 55429, 55430, 55432, 55433, 55434, 55443, 55444, 55445, 55448, 55449",6121,1024,1024,23.30344545082154,23.30344545082154,24.730781484684357,21.87610941695872,All Hybrid
Ashby Public School District,2020-08-20,6590,1,36,"56309, 56324, 56515, 56531",23,13,17,19.726858877086492,25.796661608497722,38.059616124750555,9.00321623685976,Elem In-Person / HS Hybrid
Austin Public School District,2020-08-20,53934,3,1430,"55912, 55917, 55950, 55953, 55970, 55982, 56007, 56036",1373,57,69,10.568472577594838,12.793414172877961,15.812100487877672,7.82480893441416,Elem In-Person / HS Hybrid
Badger Public School District,2020-08-20,8980,3,37,"56714, 56726, 56751, 56759, 56761",32,5,17,5.567928730512249,18.93095768374165,27.93016372629244,0.6874240134748467,All In-Person
Bagley Public School District,2020-08-20,21670,2,59,"56470, 56557, 56589, 56621, 56634, 56652, 56676, 56678",47,12,20,5.537609598523304,9.229349330872173,13.274290019288959,2.4044120139963088,All In-Person
Barnesville Public School District,2020-08-20,54569,3,829,"56514, 56525, 56547, 56549, 56560, 56572, 56579, 56580, 56594",790,39,51,7.146914915061665,9.345965658157562,11.911011695274606,4.903847225189969,All In-Person
Barnum Public School District,2020-08-20,10810,4,74,"55707, 55718, 55726, 55749, 55757, 55767",73,1,17,0.9250693802035153,15.72617946345976,23.20193064404312,0,All In-Person
Battle Lake Public School District,2020-08-20,13860,5,47,"56309, 56326, 56515, 56524, 56528, 56551, 56571, 56576, 56586, 56588",22,25,45,18.037518037518037,32.46753246753247,41.953881462986125,10.966810966810966,Elem In-Person / HS Hybrid
Becker Public School District,2020-08-20,61040,0,773,"55308, 55309, 55319, 55371, 56304",696,77,77,12.61467889908257,12.61467889908257,15.432328014300223,9.797029783864915,Elem In-Person / HS Hybrid
Belgrade-Brooten-Elrosa Public School District,2020-08-20,26791,1,325,"56273, 56289, 56312, 56316, 56325, 56334, 56352, 56378",299,26,30,9.704751595685117,11.1977903027136,15.204868100146038,5.974365179858215,All In-Person
Belle Plaine Public School District,2020-08-20,44180,0,451,"55315, 55322, 55338, 55352, 55368, 56011, 56044, 56071",407,44,44,9.95925758261657,9.95925758261657,12.902030144452956,7.01648502078018,All In-Person
Bemidji Public School District,2020-08-20,43810,5,294,"56461, 56601, 56630, 56633, 56647, 56652, 56667, 56671, 56676, 56678, 56683, 56687",223,71,91,16.206345583200182,20.771513353115726,25.03930799994799,12.436600421039568,Elem In-Person / HS Hybrid
Benson Public School District,2020-08-20,18290,2,138,"56215, 56226, 56231, 56244, 56249, 56260, 56265, 56271, 56381",107,31,39,16.949152542372882,21.323127392017497,28.015416116381008,10.98260352589019,Elem In-Person / HS Hybrid
Bertha-Hewitt Public School District,2020-08-20,22850,4,109,"56361, 56437, 56438, 56440, 56446, 56453, 56479, 56481, 56482, 56551",101,8,24,3.50109409190372,10.50328227571116,14.705470368363263,1.0749596654255875,All In-Person
Big Lake Public School District,2020-08-20,81510,0,566,"55308, 55309, 55330, 55398",474,92,92,11.286958655379708,11.286958655379708,13.593382354482378,8.980534956277038,Elem In-Person / HS Hybrid
Bird Island-Olivia-Lake Lillian Public School District,2020-08-20,14620,3,65,"55310, 55333, 55342, 56216, 56230, 56253, 56277, 56283",58,7,19,4.7879616963064295,12.995896032831737,18.839563563159864,1.2409900344140918,All In-Person
Blackduck Public School District,2020-08-20,38282,7,280,"56601, 56630, 56633, 56647, 56650, 56661, 56663, 56667, 56670, 56683",218,62,90,16.195601065775037,23.509743482576667,28.366906807844437,12.164188017067254,Elem In-Person / HS Hybrid
Blooming Prairie Public School District,2020-08-20,64110,3,1432,"55060, 55912, 55917, 55918, 55924, 55982, 56026, 56045",1351,81,93,12.634534394010295,14.506317267197005,17.45461792100237,9.883013570425831,Elem In-Person / HS Hybrid
Bloomington Public School District,2020-08-20,184210,1,3018,"55344, 55378, 55420, 55423, 55425, 55431, 55435, 55437, 55438, 55439, 55450",2596,422,426,22.90863688181966,23.125780359372452,25.321857889554238,20.72289389148356,All Hybrid
Blue Earth Area Public Schools,2020-08-20,9490,5,79,"56010, 56013, 56014, 56023, 56025, 56027, 56033, 56098",65,14,34,14.752370916754478,35.82718651211802,47.870037633189455,7.024606450919995,Elem In-Person / HS Hybrid
Braham Public School District,2020-08-20,30720,3,97,"55006, 55017, 55030, 55051, 55063, 55069, 55080, 56358",69,28,40,9.114583333333334,13.020833333333332,17.056031389277358,5.738494420776954,All In-Person
Brainerd Public School District,2020-08-20,67860,5,286,"56338, 56364, 56401, 56425, 56431, 56444, 56449, 56450, 56455, 56465, 56468, 56472",238,48,68,7.073386383731211,10.020630710285882,12.402383444211795,5.072313832693782,All In-Person
Brandon-Evansville Public Schools,2020-08-20,15150,4,68,"56309, 56311, 56315, 56326, 56327, 56332, 56339, 56343, 56361, 56515, 56531",46,22,38,14.521452145214521,25.082508250825086,33.05759171341201,8.453323505442956,Elem In-Person / HS Hybrid
Breckenridge Public School District,2020-08-20,23000,5,106,"56520, 56522, 56537, 56543, 56553, 56579, 56594",80,26,46,11.304347826086955,20,25.779724681271965,6.9590964145035406,Elem In-Person / HS Hybrid
Brooklyn Center School District,2020-08-20,22510,0,705,55430,616,89,89,39.53798311861395,39.53798311861395,47.75237806256373,31.323588174664177,Elem Hybrid / HS Distance
Browerville Public School District,2020-08-20,14150,2,392,"56319, 56347, 56438, 56440, 56443, 56446",381,11,19,7.773851590106007,13.42756183745583,19.465329985399098,3.1797988769635452,All In-Person
Browns Valley Public School District,2020-08-20,2810,2,17,"56211, 56219, 56296",8,9,17,32.02846975088968,60.49822064056939,89.25724920359649,11.103202846975089,Elem Hybrid / HS Distance
Buffalo-Hanover-Montrose Public Schools,2020-08-20,129670,0,1128,"55311, 55313, 55328, 55340, 55341, 55349, 55357, 55358, 55363, 55374, 55376, 55390",972,156,156,12.030539060692528,12.030539060692528,13.918438509579834,10.14263961180522,Elem In-Person / HS Hybrid
Buffalo Lake-Hector-Stewart Public Schools,2020-08-20,26160,3,133,"55310, 55312, 55314, 55335, 55342, 55350, 55385, 56228",93,40,52,15.290519877675841,19.87767584097859,25.28048967882983,10.551938674365426,Elem In-Person / HS Hybrid
Burnsville Public School District,2020-08-20,225360,0,3300,"55121, 55122, 55124, 55306, 55337, 55378, 55379",2763,537,537,23.828541001064963,23.828541001064963,25.843964789089693,21.81311721304023,All Hybrid
Butterfield Public School District,2020-08-20,5030,2,97,"56120, 56159, 56160, 56162, 56176",87,10,18,19.880715705765404,35.785288270377734,52.317248005474745,7.558520449443294,Elem In-Person / HS Hybrid
Byron Public School District,2020-08-20,109600,0,1212,"55901, 55902, 55920, 55944, 55955, 55960, 55963, 55976",1090,122,122,11.131386861313867,11.131386861313867,13.106652152708671,9.156121569919067,Elem In-Person / HS Hybrid
Caledonia Public School District,2020-08-20,11270,3,33,"55919, 55921, 55931, 55941, 55943, 55974",12,21,33,18.633540372670808,29.281277728482696,39.27182146159231,10.663843511878042,Elem In-Person / HS Hybrid
