zip,pop,cases,date,total_cases,n_leq5,cases_lag,totalcases_last,totalcases_last_max,rate_last,rate_last_max,rate_last_ci_upper,rate_last_ci_lower,current_rate,school_opening_status
55001,2830,18,2020-08-20,18,0,15,3,3,10.600706713780918,10.600706713780918,22.596535628392225,0,7.067137809187279,Elem In-Person / HS Hybrid
55003,2200,14,2020-08-20,14,0,13,1,1,4.545454545454546,4.545454545454546,13.454545454545455,0,2677.272727272727,All In-Person
55005,4540,14,2020-08-20,14,0,9,5,5,11.013215859030838,11.013215859030838,20.666725189206137,1.359706528855534,37.44493392070484,Elem In-Person / HS Hybrid
55006,3300,10,2020-08-20,10,0,2,8,8,24.242424242424242,24.242424242424242,41.04156716515919,7.443281319689295,18.181818181818183,All Hybrid
55007,1990,2,2020-08-20,2,1,2,0,4,0,20.100502512562816,39.798994974874375,0,35.175879396984925,Elem In-Person / HS Hybrid
55008,14170,51,2020-08-20,51,0,36,15,15,10.58574453069866,10.58574453069866,15.942870401246676,5.228618660150644,45.87155963302752,Elem In-Person / HS Hybrid
55009,7780,61,2020-08-20,61,0,55,6,6,7.712082262210798,7.712082262210798,13.883033285160705,1.541131239260889,20.56555269922879,All In-Person
55011,10140,70,2020-08-20,70,0,53,17,17,16.765285996055226,16.765285996055226,24.73499706726885,8.795574924841604,60.15779092702169,Elem In-Person / HS Hybrid
55012,1770,16,2020-08-20,16,0,15,1,1,5.649717514124294,5.649717514124294,16.72316384180791,0,96.045197740113,All In-Person
55013,6360,28,2020-08-20,28,0,24,4,4,6.289308176100628,6.289308176100628,12.452830188679245,0.1257861635220127,91.19496855345912,All In-Person
55014,25860,231,2020-08-20,231,0,192,39,39,15.081206496519721,15.081206496519721,19.81446097326406,10.347952019775382,68.8321732405259,Elem In-Person / HS Hybrid
55016,35200,392,2020-08-20,392,0,342,50,50,14.204545454545455,14.204545454545455,18.14184457706146,10.267246332029451,44.60227272727273,Elem In-Person / HS Hybrid
55017,660,2,2020-08-20,2,1,2,0,4,0,60.60606060606061,120,0,45.45454545454545,Elem Hybrid / HS Distance
55018,940,2,2020-08-20,2,1,0,2,6,21.27659574468085,63.82978723404255,114.9042542112237,0,0,Elem Hybrid / HS Distance
55019,2040,6,2020-08-20,6,0,6,0,0,0,0,0,0,24.509803921568626,All In-Person
55020,4020,21,2020-08-20,21,0,19,2,2,4.975124378109452,4.975124378109452,11.870294980724541,0,74.6268656716418,All In-Person
55021,26890,884,2020-08-20,884,0,826,58,58,21.569356638155448,21.569356638155448,27.120459385456773,16.018253890854126,34.58534771290443,All Hybrid
55024,34100,230,2020-08-20,230,0,191,39,39,11.436950146627566,11.436950146627566,15.026450462422542,7.847449830832592,38.12316715542522,Elem In-Person / HS Hybrid
55025,23270,163,2020-08-20,163,0,131,32,32,13.751611516974645,13.751611516974645,18.516301817363583,8.986921216585705,59.73356252685862,Elem In-Person / HS Hybrid
55026,410,0,2020-08-20,0,0,0,0,0,0,0,0,0,0,All In-Person
55027,3070,12,2020-08-20,12,0,9,3,3,9.77198697068404,9.77198697068404,20.830031214446254,0,61.88925081433224,All In-Person
55029,105,0,2020-08-20,0,0,0,0,0,0,0,0,0,0,All In-Person
55030,1050,2,2020-08-20,2,1,2,0,4,0,38.095238095238095,75.42857142857143,0,57.142857142857146,Elem In-Person / HS Hybrid
55031,1850,7,2020-08-20,7,0,2,5,5,27.027027027027028,27.027027027027028,50.717260734592365,3.3367933194616888,5.405405405405405,All Hybrid
55032,3360,8,2020-08-20,8,0,6,2,2,5.9523809523809526,5.9523809523809526,14.201960066224006,0,71.42857142857143,All In-Person
55033,27600,238,2020-08-20,238,0,167,71,71,25.72463768115942,25.72463768115942,31.70842520124118,19.74085016107766,NA,All Hybrid
55036,51,2,2020-08-20,2,1,2,0,4,0,784.313725490196,1552.9411764705883,0,0,All Distance
55037,4150,6,2020-08-20,6,0,2,4,4,9.638554216867469,9.638554216867469,19.084337349397593,0.19277108433734957,24.096385542168676,All In-Person
55038,22100,154,2020-08-20,154,0,117,37,37,16.742081447963802,16.742081447963802,22.136748669404753,11.347414226522847,54.29864253393665,Elem In-Person / HS Hybrid
55040,12210,77,2020-08-20,77,0,59,18,18,14.742014742014742,14.742014742014742,21.55247808906945,7.931551394960035,39.31203931203931,Elem In-Person / HS Hybrid
55041,7120,22,2020-08-20,22,0,16,6,6,8.426966292134832,8.426966292134832,15.169943673953693,1.6839889103159715,98.31460674157303,All In-Person
55042,9200,100,2020-08-20,100,0,82,18,18,19.565217391304348,19.565217391304348,28.603886681254124,10.526548101354567,60.869565217391305,Elem In-Person / HS Hybrid
55043,3480,17,2020-08-20,17,0,15,2,2,5.747126436781609,5.747126436781609,13.712237305319729,0,25.862068965517242,All In-Person
55044,52230,532,2020-08-20,532,0,443,89,89,17.0400153168677,17.0400153168677,20.580241818654212,13.49978881508119,44.801838024124066,Elem In-Person / HS Hybrid
55045,7090,30,2020-08-20,30,0,29,1,1,1.4104372355430184,1.4104372355430184,4.174894217207334,0,94.49929478138223,All In-Person
55046,5370,23,2020-08-20,23,0,19,4,4,7.4487895716946,7.4487895716946,14.748603351955307,0.14897579143389214,44.6927374301676,All In-Person
55047,2420,14,2020-08-20,14,0,10,4,4,16.52892561983471,16.52892561983471,32.72727272727273,0.33057851239669445,28.92561983471074,Elem In-Person / HS Hybrid
55049,2640,18,2020-08-20,18,0,18,0,0,0,0,0,0,22.727272727272727,All In-Person
55051,8180,41,2020-08-20,41,0,29,12,12,14.66992665036675,14.66992665036675,22.97021902893643,6.369634271797068,57.457212713936435,Elem In-Person / HS Hybrid
55052,1870,13,2020-08-20,13,0,12,1,1,5.347593582887701,5.347593582887701,15.828877005347593,0,10.695187165775401,All In-Person
55053,910,2,2020-08-20,2,1,2,0,4,0,43.956043956043956,87.03296703296704,0,54.94505494505495,All Hybrid
55054,2300,16,2020-08-20,16,0,15,1,1,4.3478260869565215,4.3478260869565215,12.869565217391303,0,39.130434782608695,All In-Person
55055,3310,50,2020-08-20,50,0,41,9,9,27.190332326283986,27.190332326283986,44.95468277945619,9.425981873111784,45.31722054380665,All Hybrid
55056,13150,59,2020-08-20,59,0,47,12,12,9.125475285171103,9.125475285171103,14.288698985300378,3.962251585041826,66.15969581749049,All In-Person
55057,20020,165,2020-08-20,165,0,147,18,18,8.991008991008991,8.991008991008991,13.144643230146752,4.837374751871231,32.967032967032964,All In-Person
55060,27950,327,2020-08-20,327,0,292,35,35,12.522361359570663,12.522361359570663,16.671025536627994,8.373697182513329,38.998211091234346,Elem In-Person / HS Hybrid
55063,7860,22,2020-08-20,22,0,21,1,1,1.272264631043257,1.272264631043257,3.7659033078880406,0,43.25699745547073,All In-Person
55065,1130,2,2020-08-20,2,1,2,0,4,0,35.39823008849557,70.08849557522123,0,70.79646017699115,Elem In-Person / HS Hybrid
55066,17400,63,2020-08-20,63,0,44,19,19,10.919540229885056,10.919540229885056,15.829564327206736,6.009516132563379,42.52873563218391,Elem In-Person / HS Hybrid
55068,28980,288,2020-08-20,288,0,227,61,61,21.048999309868872,21.048999309868872,26.33129377666565,15.766704843072105,34.85162180814355,All Hybrid
55069,4210,11,2020-08-20,11,0,9,2,2,4.750593824228028,4.750593824228028,11.334580955466189,0,85.5106888361045,All In-Person
55070,7370,54,2020-08-20,54,0,45,9,9,12.211668928086839,12.211668928086839,20.189959294436907,4.233378561736771,84.1248303934871,Elem In-Person / HS Hybrid
55071,5420,85,2020-08-20,85,0,79,6,6,11.07011070110701,11.07011070110701,19.92804408829341,2.212177313920612,36.90036900369004,Elem In-Person / HS Hybrid
55072,2680,2,2020-08-20,2,1,2,0,4,0,14.925373134328359,29.55223880597015,0,52.23880597014926,All In-Person
55073,3460,6,2020-08-20,6,0,2,4,4,11.560693641618498,11.560693641618498,22.890173410404625,0.23121387283237016,40.46242774566474,Elem In-Person / HS Hybrid
55074,2070,12,2020-08-20,12,0,11,1,1,4.830917874396135,4.830917874396135,14.29951690821256,0,106.28019323671498,All In-Person
55075,19370,321,2020-08-20,321,0,266,55,55,28.394424367578733,28.394424367578733,35.89868303288978,20.890165702267684,29.426948890036137,All Hybrid
55076,21320,263,2020-08-20,263,0,211,52,52,24.390243902439025,24.390243902439025,31.019587710984442,17.760900093893607,38.46153846153847,All Hybrid
55077,13010,192,2020-08-20,192,0,166,26,26,19.984627209838585,19.984627209838585,27.666470596957613,12.302783822719556,39.20061491160646,Elem In-Person / HS Hybrid
55079,8280,25,2020-08-20,25,0,17,8,8,9.66183574879227,9.66183574879227,16.357146333940257,2.9665251636442846,50.724637681159415,All In-Person
55080,2570,7,2020-08-20,7,0,2,5,5,19.45525291828794,19.45525291828794,36.508533991827186,2.401971844748686,19.45525291828794,Elem In-Person / HS Hybrid
55082,34610,259,2020-08-20,259,0,190,69,69,19.936434556486567,19.936434556486567,24.640561332366204,15.232307780606927,35.24992776654146,Elem In-Person / HS Hybrid
55084,1590,9,2020-08-20,9,0,6,3,3,18.867924528301888,18.867924528301888,40.21899108701258,0,25.157232704402514,Elem In-Person / HS Hybrid
55085,421,2,2020-08-20,2,1,2,0,4,0,95.01187648456057,188.12351543942992,0,142.51781472684087,Elem Hybrid / HS Distance
55087,280,2,2020-08-20,2,1,0,2,6,71.42857142857143,214.28571428571428,385.7499962805367,0,0,All Distance
55088,1750,9,2020-08-20,9,0,7,2,2,11.428571428571429,11.428571428571429,27.267763327150092,0,40,Elem In-Person / HS Hybrid
55089,1850,14,2020-08-20,14,0,12,2,2,10.81081081081081,10.81081081081081,25.793830174331166,0,64.86486486486486,Elem In-Person / HS Hybrid
55090,473,2,2020-08-20,2,1,2,0,4,0,84.56659619450318,167.4418604651163,0,0,Elem Hybrid / HS Distance
55092,10170,41,2020-08-20,41,0,32,9,9,8.849557522123893,8.849557522123893,14.63126843657817,3.0678466076696163,48.18092428711898,All In-Person
55101,5660,99,2020-08-20,99,0,95,4,4,7.067137809187279,7.067137809187279,13.992932862190811,0.1413427561837457,35.3356890459364,All In-Person
55102,14960,268,2020-08-20,268,0,213,55,55,36.76470588235294,36.76470588235294,46.48111566491143,27.048296099794452,34.75935828877005,Elem Hybrid / HS Distance
